Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0805_2012Metric",67.600000,58.400000,-90.000000,top
"C2","30p","C_0402_1005Metric",30.700000,45.166250,90.000000,top
"C3","30p","C_0402_1005Metric",30.700000,42.196250,-90.000000,top
"C4","10u","C_0805_2012Metric",56.500000,56.612500,-90.000000,top
"C5","100n","C_0402_1005Metric",47.215000,43.830000,0.000000,top
"C6","100n","C_0402_1005Metric",47.185000,42.681250,0.000000,top
"C7","100n","C_0402_1005Metric",33.215000,40.181250,180.000000,top
"C8","1u","C_0402_1005Metric",46.185000,38.681250,0.000000,top
"C9","100n","C_0402_1005Metric",47.185000,41.681250,0.000000,top
"C10","1u","C_0402_1005Metric",46.185000,37.681250,0.000000,top
"C11","100n","C_0402_1005Metric",42.700000,48.166250,90.000000,top
"C12","100n","C_0402_1005Metric",37.300000,35.296250,-90.000000,top
"C13","100n","C_0402_1005Metric",38.500000,48.166250,90.000000,top
"C14","100n","C_0402_1005Metric",33.215000,41.300250,180.000000,top
"C15","100n","C_0402_1005Metric",43.700000,35.196250,-90.000000,top
"C16","100n","C_0402_1005Metric",45.100000,35.196250,-90.000000,top
"C17","10u","C_0805_2012Metric",58.300000,51.500000,180.000000,top
"C18","100n","C_0402_1005Metric",26.900000,28.600000,-90.000000,top
"C19","100n","C_0402_1005Metric",56.400000,29.000000,0.000000,top
"C20","100n","C_0402_1005Metric",46.200000,60.000000,180.000000,top
"C21","100n","C_0402_1005Metric",32.100000,59.580000,90.000000,top
"C22","100n","C_0402_1005Metric",26.900000,34.300000,90.000000,top
"C23","100n","C_0402_1005Metric",51.200000,29.000000,180.000000,top
"C24","100n","C_0402_1005Metric",36.400000,60.000000,0.000000,top
"C25","100n","C_0402_1005Metric",22.700000,60.000000,0.000000,top
"D1","LED BLUE","LED_1206_3216Metric",92.600000,8.700000,180.000000,top
"D2","LED RED","LED_1206_3216Metric",92.600000,12.100000,180.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",73.800000,65.25000,180.000000,top
"R1","1k","R_0402_1005Metric",52.890000,52.500000,180.000000,top
"R3","27","R_0402_1005Metric",46.185000,40.681250,180.000000,top
"R4","27","R_0402_1005Metric",46.185000,39.681250,180.000000,top
"R5","1k","R_0402_1005Metric",32.585000,42.981250,180.000000,top
"R6","470","R_0402_1005Metric",91.400000,10.400000,180.000000,top
"R7","2.2k","R_0402_1005Metric",93.900000,10.400000,180.000000,top
"R8","2.2k","R_0402_1005Metric",36.400000,58.900000,180.000000,top
"R9","3.3k","R_0402_1005Metric",33.900000,58.900000,180.000000,top
"R10","5.1k","R_0402_1005Metric",75.900000,60.400000,90.000000,top
"R11","5.1k","R_0402_1005Metric",71.400000,60.400000,0.000000,top
"SW1","SW_Flash","SW_Push_1P1T-SH_NO_CK_KMR2xxG",48.200000,53.750000,0.000000,top
"SW2","SW_Mode","SW_Push_1P1T-SH_NO_CK_KMR2xxG",85.400000,11.550000,0.000000,top
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",62.050000,57.637500,0.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",50.350000,47.605000,90.000000,top
"U3","RP2040","RP2040-QFN-56",39.700000,41.681250,-90.000000,top
"U4","SN74LVC4245A","SN74LVC4245APWR",41.300000,56.700000,-90.000000,top
"U5","SN74LVC4245A","SN74LVC4245APWR",27.600000,56.700000,-90.000000,top
"U6","SN74LVC4245A","SN74LVC4245APWR",31.800000,31.500000,0.000000,top
"U7","SN74LVC4245A","SN74LVC4245APWR",54.000000,33.900000,90.000000,top
"Y1","TAXM12M2GLFBET2T","Crystal_SMD_HC49-US",26.584000,43.840250,-90.000000,top
